Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1329.69
FDW14,OUT017,1213.9
NCN55,OUT010,563.68
FDQ58,OUT017,1895.55
FDY38,OUT027,5643.24
FDH56,OUT046,1522.75
FDL48,OUT018,561.86
FDC48,OUT027,1596.39
FDN33,OUT045,1033.3
FDA36,OUT017,1993.48
FDT44,OUT017,1715.87
FDQ56,OUT045,1444.89
NCC54,OUT019,723.58
FDU11,OUT049,1523.41
DRL59,OUT013,826.87
FDM24,OUT049,2145.07
FDI57,OUT045,3355.59
DRC12,OUT018,2742.78
NCM42,OUT027,2957.27
FDA46,OUT010,375.03
FDA31,OUT013,2171.75
NCJ31,OUT035,3091.95
FDG52,OUT046,677.86
NCL19,OUT019,367.59
FDS10,OUT035,2731.17
FDX22,OUT010,533.83
NCF19,OUT035,680.1
NCE06,OUT046,2136.89
DRC27,OUT046,2983.82
FDE21,OUT035,1826.42
NCR42,OUT019,57.12
FDX51,OUT018,2712.65
NCR06,OUT018,375.54
FDU31,OUT027,5156.55
FDU59,OUT017,2155.28
FDR03,OUT027,4851.1
FDS49,OUT027,1905.54
FDD48,OUT010,196.41
NCF18,OUT017,3048.03
NCD43,OUT027,1990.38
NCD54,OUT018,1416.76
FDY19,OUT010,173.43
NCY54,OUT017,2249.16
NCL19,OUT018,2192.51
FDP23,OUT010,313.58
FDC26,OUT013,1673.71
FDR14,OUT010,147.59
NCS41,OUT035,2892.98
FDF41,OUT035,3413.82
FDU34,OUT046,1872.14
DRH11,OUT046,508.23
FDM03,OUT013,1660.36
FDS31,OUT017,2912.63
FDJ20,OUT017,1569.67
FDV44,OUT027,3782.24
FDG02,OUT049,2141.41
FDA09,OUT013,3127.67
FDT04,OUT013,538.45
FDL58,OUT019,528.2
FDE52,OUT045,1223.5
FDW12,OUT035,2793.51
FDL51,OUT017,3313.77
NCY42,OUT027,2828.9
FDR07,OUT017,813.54
FDN40,OUT045,2095.2
FDB35,OUT027,2471.95
FDA22,OUT017,2141.43
NCL06,OUT046,3780.04
FDI35,OUT013,3498.52
NCW42,OUT045,3496.04
NCX06,OUT049,2537.48
FDC37,OUT027,2056.54
FDZ14,OUT018,1587.84
DRG49,OUT049,4033.11
NCG06,OUT045,3244.45
DRC36,OUT045,2507.46
FDV21,OUT019,341.15
FDB53,OUT046,2419
DRP47,OUT019,516.28
FDA14,OUT013,2433.94
DRC24,OUT035,2292.27
FDW21,OUT018,1183.75
NCH29,OUT046,1568.47
FDU58,OUT013,3130.65
FDY27,OUT017,1893.5
FDV56,OUT035,1211.87
FDT59,OUT046,3684.87
FDB23,OUT046,2904.98
FDR49,OUT045,662.5
FDB03,OUT010,464.29
FDN39,OUT045,2258.44
FDX02,OUT027,5062.51
FDQ16,OUT027,2472.85
FDU35,OUT018,1377.93
NCT29,OUT013,1291.37
FDZ27,OUT046,635.72
FDN57,OUT017,1835.52
FDA03,OUT018,1914.21
FDZ36,OUT045,3053.72
NCU05,OUT013,1143.07
FDT39,OUT018,1918.87
FDK60,OUT017,1525.24
FDZ25,OUT017,2756.04
FDG12,OUT046,2069.4
DRB01,OUT019,392.27
NCC43,OUT027,6528.61
FDX13,OUT019,428.75
FDM22,OUT049,820.07
FDJ03,OUT027,1401.52
FDU14,OUT018,3586.53
FDB33,OUT010,350.29
FDP27,OUT046,2994.03
FDO38,OUT010,160.68
FDE28,OUT027,6472.41
FDO27,OUT035,1142.28
DRL23,OUT027,2010.39
FDS28,OUT046,631.34
FDX24,OUT013,1253.69
FDZ02,OUT035,1055.65
FDL46,OUT045,1744.74
FDS60,OUT027,3756.03
NCO06,OUT017,367.48
FDO16,OUT035,1488.21
FDC60,OUT049,1113.16
FDA48,OUT018,3466.98
FDZ36,OUT027,4070.09
FDK27,OUT045,1775.8
FDW23,OUT018,347.26
FDM14,OUT018,1053.9
FDM14,OUT013,1177.74
FDW60,OUT018,2080.59
FDE21,OUT013,1709.41
NCM42,OUT035,1455.38
FDY59,OUT010,171.49
DRI49,OUT049,1305.61
FDT28,OUT019,223.7
FDQ22,OUT018,448.46
FDR60,OUT049,961.11
FDC50,OUT019,337.79
FDV24,OUT013,1971.17
DRF48,OUT010,358.81
FDQ47,OUT046,628.11
DRN36,OUT049,1511.72
NCY06,OUT035,1899.56
FDE52,OUT035,1263.08
NCB54,OUT045,1657.98
NCF31,OUT035,2093.53
FDJ08,OUT027,4368.67
NCC07,OUT017,1288.35
NCD19,OUT027,1487.41
FDL46,OUT049,1843.74
FDM20,OUT045,3380.74
NCI06,OUT010,383.23
DRM11,OUT035,3926.43
NCH07,OUT018,2119.88
FDS23,OUT013,1827.18
FDO49,OUT018,610.89
FDS35,OUT049,969.44
DRK39,OUT045,1271.43
DRI39,OUT049,793.4
FDV04,OUT017,1922.62
NCN14,OUT035,2929.2
FDH08,OUT013,3830.17
FDS20,OUT046,2896.67
FDV40,OUT049,922.66
FDZ48,OUT010,181.75
FDS24,OUT027,2103.09
FDK44,OUT049,1931.04
FDS48,OUT045,1910.15
FDK26,OUT010,426.92
FDD23,OUT045,3240.45
NCH54,OUT017,2407.13
NCP14,OUT010,187.36
FDM60,OUT010,60.96
FDV24,OUT017,2073.18
FDH08,OUT018,3215.52
FDS12,OUT027,3311.26
FDR39,OUT027,4406.25
FDP12,OUT027,943.46
DRF60,OUT027,5149.56
FDC09,OUT035,1541.96
FDF50,OUT018,2571.95
FDG28,OUT035,3413.2
