"","Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"8524","FDW58","OUT049",1707.13063026334
"8525","FDW14","OUT017",1322.65047175333
"8526","NCN55","OUT010",682.158228843334
"8527","FDQ58","OUT017",2113.27952719001
"8528","FDY38","OUT027",6154.07574316333
"8529","FDH56","OUT046",2056.98908890333
"8530","FDL48","OUT018",640.217777956665
"8531","FDC48","OUT027",1661.17807967334
"8532","FDN33","OUT045",1241.39946888333
"8533","FDA36","OUT017",2510.22746759667
"8534","FDT44","OUT017",1629.75051091667
"8535","FDQ56","OUT045",1627.87096861333
"8536","NCC54","OUT019",752.187738643334
"8537","FDU11","OUT049",1867.11249423
"8538","DRL59","OUT013",806.387709186665
"8539","FDM24","OUT049",2279.92827958666
"8540","FDI57","OUT045",3922.18703084667
"8541","DRC12","OUT018",2994.05992222
"8542","NCM42","OUT027",2800.99128260667
"8543","FDA46","OUT010",463.423232260001
"8544","FDA31","OUT013",2574.96427797333
"8545","NCJ31","OUT035",3517.90296204334
"8546","FDG52","OUT046",713.122078996667
"8547","NCL19","OUT019",300.444191916667
"8548","FDS10","OUT035",2978.74284922334
"8549","FDX22","OUT010",428.953190533332
"8550","NCF19","OUT035",702.146343803332
"8551","NCE06","OUT046",2442.9986344
"8552","DRC27","OUT046",4190.39654905333
"8553","FDE21","OUT035",1994.77077799333
"8554","NCR42","OUT019",59.0019087866667
"8555","FDX51","OUT018",2663.21134079333
"8556","NCR06","OUT018",399.597935373334
"8557","FDU31","OUT027",5589.03085768333
"8558","FDU59","OUT017",2372.81522493
"8559","FDR03","OUT027",5768.47098187334
"8560","FDS49","OUT027",2602.83142574667
"8561","FDD48","OUT010",219.654022516667
"8562","NCF18","OUT017",3391.36386588667
"8563","NCD43","OUT027",2219.63454125333
"8564","NCD54","OUT018",2008.35447398
"8565","FDY19","OUT010",226.382441963333
"8566","NCY54","OUT017",2321.76485457666
"8567","NCL19","OUT018",2226.13542355
"8568","FDP23","OUT010",522.368481466668
"8569","FDC26","OUT013",1633.86007264333
"8570","FDR14","OUT010",136.910140693334
"8571","NCS41","OUT035",2868.49233923
"8572","FDF41","OUT035",4130.46559404333
"8573","FDU34","OUT046",2080.23691627667
"8574","DRH11","OUT046",809.803762536666
"8575","FDM03","OUT013",2361.49133182
"8576","FDS31","OUT017",3044.39696555
"8577","FDJ20","OUT017",1805.18726848
"8578","FDV44","OUT027",4574.01277658
"8579","FDG02","OUT049",2669.30670650334
"8580","FDA09","OUT013",3594.39703475
"8581","FDT04","OUT013",517.12649381
"8582","FDL58","OUT019",659.742440633333
"8583","FDE52","OUT045",1282.55261127
"8584","FDW12","OUT035",2745.40708057334
"8585","FDL51","OUT017",3946.68424301666
"8586","NCY42","OUT027",2738.79411084667
"8587","FDR07","OUT017",1503.60141820666
"8588","FDN40","OUT045",2636.30125832666
"8589","FDB35","OUT027",2538.73317305334
"8590","FDA22","OUT017",2649.70728558333
"8591","NCL06","OUT046",4288.74745977334
"8592","FDI35","OUT013",3353.29784945667
"8593","NCW42","OUT045",3861.91617384
"8594","NCX06","OUT049",3279.78582837
"8595","FDC37","OUT027",2225.23954526334
"8596","FDZ14","OUT018",1986.64990442667
"8597","DRG49","OUT049",5107.78440355001
"8598","NCG06","OUT045",3310.80462921667
"8599","DRC36","OUT045",2912.98730936333
"8600","FDV21","OUT019",441.453119473334
"8601","FDB53","OUT046",3214.49412917667
"8602","DRP47","OUT019",601.374395640001
